date,state,temp,ppt,ll,hl,ev,runoff,cmi,change,month moist,palmer
1012018,1,49.3,1.29,6,0,0,0.2,1.11,0.18,0.15,0.759587956
1012018,2,50,0.22,6,0,0,0.22,1.15,-0.93,-0.73,0.118001417
1012018,3,51.5,0.89,6,0,0,0.26,1.21,-0.32,-0.23,0.545387894
1012018,4,54.4,1.4,6,0,0,0.34,1.28,0.12,0.09,0.867074348
1012018,5,52.8,1.53,6,0,0,0.3,1.21,0.32,0.23,0.921309583
1012018,6,54.3,3.09,6,0,0,0.35,1.18,1.91,1.38,1.746093505
1012018,7,54.3,0.11,6,0,0.24,0.35,1.09,-0.98,-0.74,0.042901639
1012018,12,75.9,0.8,4.82,0,0.37,1.17,1.54,-0.74,-0.62,0.348557669
1012018,13,76.6,2.76,4.45,0,0,1.11,2.05,0.71,0.55,1.490820772
1012018,14,75.4,0.03,6,0,1.03,1.06,1.88,-1.85,-1.43,-0.001891762
1012018,15,78.9,0.94,4.97,0,0.42,1.36,1.24,-0.3,-0.27,0.331044693
1012018,16,78.5,3.11,4.55,0,0,1.43,1.15,1.96,1.8,0.951311508
1012018,17,81,0.75,6,0,0.84,1.59,1.04,-0.29,-0.28,0.256265247
1012018,18,81.2,0.83,5.16,0,0.66,1.49,1.04,-0.21,-0.2,0.24692814
1012018,8,58.8,3.69,5.76,0,0,0.5,1.15,2.54,2.01,1.814586182
1012018,9,63.7,0.55,6,0,0.13,0.68,1.17,-0.62,-0.51,0.262946806
1012018,10,68.5,0.01,5.87,0,0.88,0.89,1.26,-1.25,-1.04,-0.011558634
1012018,11,70.9,0.8,4.99,0,0.17,0.97,1.41,-0.61,-0.51,0.3537659
1012018,19,80.6,0.42,4.5,0,0.85,1.27,1.04,-0.62,-0.6,0.10506618
1012018,20,79.9,0.97,3.65,0,0.31,1.28,1.03,-0.06,-0.06,0.211050691
1012018,21,76.8,0.08,3.34,0,0.68,0.76,0.92,-0.84,-0.8,0.004765124
1012018,22,77.9,0.37,2.66,0,0.43,0.8,0.98,-0.61,-0.58,0.051272882
1012018,23,80.6,1.11,2.23,0,0.14,1.25,1.08,0.03,0.03,0.156997773
1012018,24,80.2,0.69,2.09,0,0.26,0.95,1.01,-0.32,-0.31,0.082701093
1012018,25,77.2,0.2,1.83,0,0.32,0.52,0.84,-0.64,-0.63,0.011205195
1012018,26,80.5,0.21,1.51,0,0.3,0.51,0.94,-0.73,-0.72,0.009157774
1012018,27,80.7,0.26,1.21,0,0.23,0.49,0.95,-0.69,-0.67,0.009703824
1012018,28,77.3,1.11,0.98,0.28,0.01,1.12,0.85,0.26,0.24,0.076782797
1012018,29,80.2,0.47,0.97,-0.45,0.14,0.61,1.01,-0.54,-0.49,0.008472297
1012018,30,74.5,2.88,0.83,1.83,0,1.01,0.87,2.01,1.79,0.435959038
1012018,31,77.3,0.36,2.7,-0.28,0.75,1.11,0.73,-0.37,-0.32,0.034291921
1012018,32,70.8,0.14,1.95,-0.48,0.37,0.51,0.74,-0.6,-0.52,0.002203029
1012018,33,62.3,1.02,1.58,0.41,0,0.52,0.6,0.42,0.37,0.098881969
1012018,34,53.2,0.91,2.08,0.51,0,0.27,0.38,0.53,0.47,0.087907846
1012018,35,59.1,0.92,2.72,0.4,0,0.41,0.51,0.41,0.36,0.121628954
1012018,36,53.6,1.94,3.23,1.36,0,0.27,0.46,1.48,1.32,0.363585762
1012018,37,41.5,1.98,4.9,0,0,0.06,0.33,1.65,1.45,0.364539637
1012018,38,47.2,0.35,6,0,0,0.14,0.46,-0.11,-0.1,0.087912088
1012018,39,46.4,1.53,6,0,0,0.13,0.55,0.98,0.82,0.485109138
1012018,40,43.2,2.23,6,0,0,0.08,0.6,1.63,1.33,0.810910503
1012018,41,43.9,0.91,6,0,0,0.09,0.7,0.21,0.17,0.37956778
1012018,42,45.8,0.78,6,0,0,0.11,0.81,-0.03,-0.02,0.359157335
1012018,43,47.8,2.74,6,0,0,0.14,0.92,1.82,1.41,1.366337332
1012018,44,51.8,2.53,6,0,0,0.22,1.05,1.48,1.14,1.340627581
1012018,45,46.7,0.44,6,0,0,0.13,1.02,-0.58,-0.44,0.241862211
1012018,46,44,2.6,6,0,0,0.09,1.01,1.59,1.23,1.525336876
1012018,47,37.7,1.42,6,0,0,0.03,0.96,0.46,0.36,0.915968992
1012018,48,40.9,0.12,6,0,0,0.06,0.98,-0.86,-0.7,0.056669499
1012018,49,55.6,0.5,6,0,0,0.32,1.23,-0.73,-0.61,0.283883371
1012018,50,50.1,1.61,6,0,0,0.2,1.09,0.52,0.44,0.918097047
1012018,51,48.9,10.57,6,0,0,0.18,1.06,9.51,8.24,5.264828637
1012018,52,51.6,0.94,6,0,0,0.24,1.13,-0.19,-0.16,0.538890779
1012018,53,41.8,2.54,6,0,0,0.07,0.98,1.56,1.29,1.512318984
1012018,54,58,0.53,6,0,0,0.42,1.34,-0.81,-0.64,0.31556582
1012018,55,48.9,0.06,6,0,0.14,0.2,1.15,-1.09,-0.81,0.017721519
1012018,56,57.8,0.43,5.86,0,0,0.43,1.38,-0.95,-0.68,0.254752325
1012018,57,54.1,0.92,5.86,0,0,0.34,1.26,-0.34,-0.24,0.549241424
1022018,1,49.5,1.62,6,0,0,0.21,1.15,0.47,0.38,0.983080412
1022018,2,49.7,0.31,6,0,0,0.22,1.18,-0.87,-0.68,0.179690557
1022018,3,52.8,0.8,6,0,0,0.29,1.27,-0.47,-0.35,0.501085323
1022018,4,55.7,0.82,6,0,0,0.38,1.34,-0.52,-0.38,0.515802862
1022018,5,54.8,1.03,6,0,0,0.36,1.28,-0.25,-0.18,0.631966554
1022018,6,55.7,2.97,6,0,0,0.39,1.24,1.73,1.28,1.724777129
1022018,7,55.3,0.25,6,0,0.14,0.39,1.14,-0.89,-0.67,0.123389175
1022018,8,59.8,2.7,5.86,0,0,0.54,1.19,1.51,1.18,1.388256894
1022018,9,64.8,0.19,6,0,0.54,0.73,1.23,-1.04,-0.83,0.082632162
1022018,10,69.6,0.1,5.46,0,0.77,0.87,1.38,-1.28,-1.04,0.032388021
1022018,11,72.5,1.18,4.69,0,0,1.08,1.48,-0.3,-0.25,0.511681309
1022018,12,75.9,0.63,4.79,0,0.51,1.14,1.47,-0.84,-0.72,0.257202543
1022018,13,76.8,2.12,4.28,0,0,1.12,2.09,0.03,0.02,1.124870968
1022018,14,75.6,0.18,5.28,0,0.89,1.07,1.97,-1.79,-1.4,0.091200193
1022018,15,78.7,1.19,4.39,0,0.2,1.39,1.23,-0.04,-0.04,0.37368365
1022018,16,78.6,2.52,4.19,1.39,0,1.42,1.16,1.36,1.35,0.940958693
1022018,17,80.6,1.78,5.29,0.71,0,1.56,1.1,0.68,0.67,0.660662664
1022018,18,80.7,0.96,5.51,-0.06,0.6,1.56,1.07,-0.11,-0.1,0.312324409
1022018,19,80.5,0.41,4.91,-0.61,0.95,1.36,1.11,-0.7,-0.65,0.103800846
1022018,20,80.6,0.77,3.96,-0.34,0.5,1.27,1.19,-0.42,-0.38,0.186318926
1022018,21,77.7,0.11,3.46,-0.8,0.71,0.82,1.08,-0.97,-0.84,0.007439512
1022018,22,77.6,1.17,2.75,0.12,0.07,1.24,1.08,0.09,0.08,0.219682459
1022018,23,80.5,0.76,2.68,-0.3,0.32,1.08,1.14,-0.38,-0.34,0.116770461
1022018,24,80.1,0.74,2.36,-0.27,0.27,1.01,1.07,-0.33,-0.31,0.094339271
1022018,25,77.5,0.08,2.09,0,0.41,0.49,0.91,-0.83,-0.83,-0.000859377
1022018,26,80,0.33,1.68,0,0.3,0.63,1,-0.67,-0.69,0.025343622
1022018,27,80.7,0.18,1.38,0,0.28,0.46,1.04,-0.86,-0.86,0.005200964
1022018,28,79,1.18,1.1,0.22,0.01,1.19,1,0.18,0.18,0.096348247
1022018,29,80.5,0.14,1.09,-0.83,0.22,0.36,1.1,-0.96,-0.87,-0.009324988
1022018,30,76.2,4.45,0.87,3.01,0,1.09,0.99,3.46,2.97,1.038620649
1022018,31,77.1,0.01,4.23,-0.53,1.05,1.06,0.7,-0.69,-0.57,-0.006759527
1022018,32,71.6,0.16,3.18,-0.46,0.37,0.53,0.76,-0.6,-0.5,0.013979305
1022018,33,64.4,1.1,2.81,0.45,0,0.6,0.63,0.47,0.41,0.169635236
1022018,34,54.1,0.83,3.31,0.44,0,0.3,0.39,0.44,0.4,0.110365802
1022018,35,58.7,0.95,3.84,0.46,0,0.41,0.51,0.44,0.42,0.16868785
1022018,36,54.8,1.94,4.38,1.46,0,0.3,0.48,1.46,1.42,0.45564631
1022018,37,42.6,2.41,6,0,0,0.08,0.29,2.12,2.04,0.451888824
1022018,38,47.3,0.38,6,0,0,0.15,0.43,-0.05,-0.05,0.090135612
1022018,39,45.7,1.39,6,0,0,0.12,0.5,0.89,0.79,0.408569818
1022018,40,43.6,2.67,6,0,0,0.09,0.57,2.1,1.75,0.912089381
1022018,41,43.3,0.57,6,0,0,0.08,0.68,-0.11,-0.09,0.230590591
1022018,42,46.3,0.85,6,0,0,0.13,0.83,0.02,0.02,0.397616366
1022018,43,48.1,3.83,6,0,0,0.15,0.95,2.88,2.24,1.928977273
1022018,44,53.6,2.18,6,0,0,0.26,1.13,1.05,0.83,1.208123791
1022018,45,47.2,0.56,6,0,0,0.14,1.05,-0.49,-0.39,0.318181818
1022018,46,43.9,1.63,6,0,0,0.09,1.03,0.6,0.49,0.987349864
1022018,47,37.9,1.89,6,0,0,0.03,0.96,0.93,0.76,1.208249673
1022018,48,41.2,0.16,6,0,0,0.06,0.98,-0.82,-0.68,0.081906369
1022018,49,56.6,0.24,6,0,0.11,0.35,1.25,-1.01,-0.85,0.126224329
1022018,50,50.5,1.83,5.89,0,0,0.22,1.12,0.71,0.6,1.045015743
1022018,51,50.4,6.82,6,0,0,0.22,1.12,5.7,4.82,3.701954603
1022018,52,54.4,0.95,6,0,0,0.31,1.23,-0.28,-0.23,0.56397989
1022018,53,43,2.22,6,0,0,0.09,1.03,1.19,0.96,1.360124732
1022018,54,58.8,0.55,6,0,0,0.45,1.41,-0.86,-0.67,0.34050152
1022018,55,49.3,0.01,6,0,0.2,0.21,1.19,-1.18,-0.89,-0.01477028
1022018,56,57.8,0.48,5.8,0,0,0.44,1.41,-0.93,-0.68,0.289789213
1022018,57,54.5,1.04,5.84,0,0,0.35,1.29,-0.25,-0.18,0.630564069
1032018,1,52.2,1.87,6,0,0,0.24,1.18,0.69,0.55,1.109069806
1032018,2,52.1,0.29,6,0,0,0.24,1.19,-0.9,-0.71,0.161231451
1032018,3,55.6,0.29,6,0,0.04,0.33,1.28,-0.99,-0.76,0.162961773
1032018,4,57.8,0.97,5.96,0,0,0.4,1.33,-0.36,-0.27,0.584753263
1032018,5,56.8,1.43,6,0,0,0.37,1.26,0.17,0.12,0.839380805
1032018,6,57.7,2.93,6,0,0,0.41,1.24,1.69,1.16,1.651044153
1032018,7,57.2,0.02,6,0,0.38,0.4,1.15,-1.13,-0.75,-0.006875
1032018,8,60.9,2.85,5.62,0,0,0.53,1.22,1.63,1.08,1.421082976
1032018,9,65.2,0.17,6,0,0.53,0.7,1.22,-1.05,-0.71,0.071239669
1032018,10,69.8,0,5.47,0,0.83,0.83,1.35,-1.35,-0.96,-0.017548421
1032018,11,72.1,0.93,4.64,0,0.07,1,1.42,-0.49,-0.38,0.38287935
1032018,12,76.4,1.11,4.57,0,0.11,1.22,1.47,-0.36,-0.29,0.44268487
1032018,13,78.2,3.58,4.46,0,0,1.16,2.11,1.47,1.14,1.944161785
1032018,14,77.5,0.04,6,0,1.07,1.11,1.98,-1.94,-1.5,0.005086328
